word,count,desc_count,fn_count,tier,source,example1,example2,example3
uncorking,2,2,0,old,desc,PLOP BOTTLE TONAL Uncorking bottle. Differing in pitch.,PLOP BOTTLE CORK Uncorking bottle. Differing in pitch.,
aspects,2,2,0,old,desc,"Shimmering, high synthesizer pad. Some eerie, dissonant aspects. Soft.","Very low, dense and boomy drone. Moving panorama, resonating metallic aspects.",
envelopes,2,2,0,old,desc,"Soft, low laser shot. Different pitch envelopes, synthesized. Falling pitch.","Soft, low laser shot. Different pitch envelopes, synthesized. Rising pitch.",
reacting,2,2,0,old,desc,Potassium permanganate reacting with glycerine. Fast burning with some hissing and crackling.,"Heated Potassium Chlorate and powdered sugar reacting with sulfuric acid. Fast burning, thick flame.",
glossy,2,2,0,new,desc,Glossy material motion with smooth high textures.,Glossy sweep with synthetic texture and rising tension.,
skyquake,2,1,1,new,both,Brief explosion noise resembling a skyquake.,,
already,2,2,0,mid,desc,Howl of beast already drowning and is seriously struggling for air.,Howl of beast already drowning and has already become weak from oxygen deprivation.,
sear,2,2,0,new,desc,Short lemon sear with sharp tang and quick burning splash.,Short veggie sear with sizzling onset and light crunch.,
oinking,2,2,0,mid,desc,"Plastic sponge moved around in long sequences producing sharp squeaks, similar to oinking pig if it were made of plastic.","Plastic sponge moved around in short sequences producing sharp squeaks, similar to oinking pig if it were made of plastic.",
reactor,2,1,1,mid,both,"Solar storm, spatial nuclear reactor.",,
provider,2,2,0,mid,desc,"Power charger, energy provider.","Swift energy transmission, Electricity provider.",
pavement,2,2,0,mid,desc,"Scaffold dropped on pavement, creating loud thud and high pitched ding.","Styrofoam moved around hard, pavement like surface.",
pulverizing,2,2,0,unknown,desc,IMPACT SMALL HIGH Quick pulverizing smash. Turned to dust. Granular gesture.,SPARK ELECTRICAL HIGH Pulverizing blast. Laser beam. Glassy rattle.,
alteration,2,2,0,new,desc,Coins glimmering with frequency alteration and delay.,Modified noise with pitch alteration and watery phasing.,
abyss,2,1,1,mid,both,"Hideous voice from the abyss, as if the voice's producer is fighting against drowning.",,
arcs,2,2,0,new,desc,"Firm, techy swishes with precise arcs and coiled detail.",Mid sized stick swipes with controlled arcs and clean pass bys.,
street,2,1,1,old,both,LANDING TARMAC IMPACT Skater landing on the street.,,
laughter,2,2,0,old,desc,"Sudden modulated burst, almost like laughter.","HUMAN VOCAL Layered voices. Aggressive, forceful laughter. Multiple instances.",
strokes,2,2,0,old,desc,Up and down strokes with different intensities. Long and detailed ring out.,"Single strokes of a Glockenspiel, whole-tone scale. Long ring out.",
properties,2,2,0,mid,desc,Digital noise texture with vocal properties. Slow attack and very fast release.,"Jingling, metallic chimes with high pitch resonance and atonal properties.",
claves,2,1,1,old,both,PERCUSSION WOOD HIGH Playing wooden claves. Some bouncing impacts.,,
feathery,2,2,0,unknown,desc,"FOOTSTEP SMALL IMPACT Several very close, dull transients. Light, high-frequency attack. Airy, Feathery",,
patient,2,1,1,mid,both,Patient lift mechanical buzzing with additional snappy clicking elements.,,
interface,2,2,0,new,desc,Synthesized sound designed to convey acceptance or confirmation in user interface interactions.,A timeless tick reminiscent of the golden age of user interface design.,
peace,2,2,0,new,desc,Gentle radiant line humming with enchanted hope and peace.,HUMAN MOUTH SWALLOW Human gulping down a big peace of food. Low and slightly tonal.,
enters,2,2,0,old,desc,Car key taken in and out of door. Scrape as key enters or exits slot.,Car key taken out and put in door. Scrape as key enters or exits slot.,
twinkles,2,2,0,new,desc,Delightful tonal essence that twinkles and quivers.,Whimsical shimmer trailing tiny twinkles and delicate flair.,
irregularly,2,2,0,mid,desc,"Rubber balloon inflated continuously, producing squeaks and scrapes, as if rocks are moved irregularly along surface.","Rubber balloon inflated in short intervals, producing squeaks and scrapes, as if rocks are briefly moved irregularly along surface.",
cascade,2,2,0,new,desc,Glassy cascade with soft landings and delicate sparkles.,A cascade of ethereal chimes with digital resonance.,
thundering,2,2,0,new,desc,"Deep, rumbling collision with a thundering crackle layered with coarse, gritty textures.",Sweeping arc with thundering slam and cinematic blow.,
palpitations,2,2,0,new,desc,Double deforming burst with rapid palpitations.,High-speed deformed burst with pronounced palpitations.,
simultaneously,2,2,0,mid,desc,"Creature wildly vocalizes while rock falls down slope simultaneously, lightly thudding on impact with surface.","Underwater creature swims extremely quickly, whooshing by and roaring simultaneously, with grainy cry.",
letters,2,2,0,unknown,desc,"METAL WINDING MECHANISM TINY Multiple clacking, winding and rattling actions in a long sequence. Letters snapping.","METAL WINDING MECHANISM TINY Clacking, winding and rattling actions in a tight sequence. Letters snapping.",
felt,2,1,1,new,both,Action of rolling dice on a felt board surface.,,
scooting,2,2,0,unknown,desc,"BIG LONG TREMOR Scooting, dragging. Low, groaning rumble with rattling and mid metallic resonances. Medium fast decay.","BIG LONG TREMOR Scooting, dragging. Low mid frequency, groaning rumble with rattling and mid metallic resonances. Medium fast decay.",
airiness,2,2,0,mid,desc,Wheels of toy car spun quickly. Crank with airiness. Gradually slows down.,"Water flowing consistently through tunnel, gurgling, pattering against walls, with low, warped rumbles, an ever present airiness and vocalization of b",
boost,2,1,1,new,both,Confirmative UI tick that indicates a power up or energizing boost.,,
washy,2,1,1,old,both,"Quiet, washy synthetic burst with short tail.",,
firestone,2,1,1,mid,both,Turn the firestone of a disposable lighter.,,
transitioning,2,2,0,new,desc,"Soft whoosh transitioning into spherical, airy movement. Ends with subtle, hollow whoosh.","Fluid, tonal whoosh with soft, transitioning movement.",
planets,2,2,0,old,desc,"Laser fire, like those in action movies which destroys whole cities or planets.",Short burst of laser fire like those in action movies which destroys whole cities or planets.,
condenser,2,2,0,mid,desc,"Rotating power generator, spatial condenser.","Electric beam, electromagnetic spark condenser.",
thrash,2,2,0,mid,desc,"PROCESSED HIT LOW Heavy and short thrash, with slight shaking.","SYNTHETIC HIT HIGH Sharp and distorted thrash, like whipping with a lash.",
hub,2,2,0,mid,desc,"Spaceships transit, interstellar transport hub.","Cosmic bioelectrical station, space creatures hub.",
ventilation,2,1,1,mid,both,"Sliding of a ventilation hose on the table with a subtle noisy and slightly tonal elements, long.",,
gargles,2,2,0,mid,desc,High tech weapon produces short gargles as discharge.,Slime blown through straw with slight duck quacks and gargles and snarls.,
petroleum,2,1,1,old,both,MECHANICS METAL HIGH Moving handle of petroleum lamp constantly. Longer sequences. Tin.,,
octopus,2,2,0,mid,desc,"Octopus moves through water and then snaps tentacle, producing large rumble and explosion.","Octopus tentacle moves quickly through water, first dispersing water, then producing strong thud like impact and bubbling of water.",
bonfire,2,1,1,unknown,both,"Constantly burning, small bonfire with a lot of crackling, bursting and sizzling elements.",,
motorboat,2,1,1,old,both,MECHANICS TOY RATTLE Winding up toy motorboat. Then releasing mechanism. Buzzing sound.,,
decreases,2,2,0,unknown,desc,"SMALL SHORT TEXTURE Mid frequency pulses, saw tooth like waveforms. Initial rapid tremolo becoming slow and nearly stopping as volume decreases.","BIG SHORT TEXTURE Low mid frequency pulses, saw tooth like waveforms. Initial rapid tremolo becoming slow and nearly stopping as volume decreases.",
shove,2,1,1,old,both,SKATING TRICK POP SHOVE IT Skater making a pop shove it while standing still.,,
pumping,2,2,0,mid,desc,Rapid charge up with hissing and pumping elements followed by a bursting click and a snap.,PYROTECHNIC EXPLOSION FIREWORKS Starting with pumping sound followed by detonation and sizzling. Low explosive.,
trying,2,2,0,mid,desc,"PROCESSED FRACTION Short scratches, like trying to light a match.","SYNTHETIC FRACTION Hard and distorted bangs, like trying to break down a wooden door.",
foggy,2,2,0,mid,desc,"Threatening atmosphere, dark star, foggy planet.","ATMOSPHERE CONTINUOUS SEQUENCE HIGH Sustaining texture. Granular elements. Foggy, dark, looming. Hovering observer.",
hydrochloric,2,2,0,old,desc,"Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, high.","Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, low.",
parchment,2,1,1,old,both,"Short whoosh, several slices of baking parchment attached to a bamboo stick.",,
gummi,2,1,1,old,both,"Heated Potassium chlorate reacts with the sugar from a gummi bear. Steady burning with tonal howling, medium length.",,
rainfall,2,2,0,new,desc,"SYNTHETIC MOVEMENT CONTINUOUS Continuous and distorted tapping, similar to heavy rainfall.","Continuous, dense rainfall with a steady, drenching presence.",
combines,2,2,0,new,desc,Confirmative UI tick that combines a satisfying click with bubbly undertones.,Confirmative UI tick that combines a satisfying click with metallic buoyant undertones.,
annoying,2,1,1,old,both,WHISTLE GRASS FLY Whistling on a blade of grass. Like annoying fly. Pitch varying continuously. Long sequences. Tonal.,,
carton,2,2,0,mid,desc,"Zombie, Alien, Extraterrestrial, Mutate. Male voice, alveolar trill tongue flutter in carton tube. Mono, Sanken Co100K high frequency response.","Zombie, Alien, Extraterrestrial, Mutate. Male voice, alveolar trill tongue flutter in carton tube.",
order,2,1,1,mid,both,Short high pitched beep with click. Sometimes in reverse order.,,
pound,2,1,1,mid,both,"PROCESSED HIT LOW Deep pound like sound, resembling shot fired, with feedback.",,
blip,2,1,1,new,both,Brief and static-filled tonal essence resembling a blip.,,
timbres,2,2,0,mid,desc,Futuristic metallic timbres with a quick delay and filtered resonance.,"Ascending, tinkling of chimes with shiny metallic timbres.",
pingu,2,1,1,old,both,"HUMAN TALKING HIGH Crazy talking voice, imitating the famous Pingu. Short and long sequences.",,
softness,2,2,0,new,desc,Gentle entry burst with tonal softness and subtle body.,Rounded thud with leathery softness and gentle bounce. Body Fall.,
unrelenting,2,2,0,new,desc,"Wild, uncontrollable flash with an unrelenting, fierce energy.","FRAGMENTS CONTINUOUS SEQUENCE RAPID Tracers flying past. Unrelenting bombardment. Fast doppler, surrounding.",
delightful,2,2,0,new,desc,Delightful sound of a bell ascending in pitch.,Delightful tonal essence that twinkles and quivers.,
sickening,2,2,0,new,desc,"Wet, meaty thud followed by a sickening crunch. Final impact lands with visceral, bone shattering force.",Brutal impact with crushed mass and sickening weight.,
quiver,2,2,0,new,desc,"Particle quiver with a sharp, high-pitched sound.",IMPACT BIG LOW Shock absorber. Strike and subsonic quiver. Rubbery. Elastic.,
yogurt,2,1,1,new,both,"SMALL TENSE Hollow, airy bubbling of yogurt. Variations in different lengths and speeds.",,
oldschool,2,1,1,old,both,PUNCH SYNTHETIC OLDSCHOOL Heavy distorting hit. Processed drum samples.,,
calibration,2,2,0,old,desc,"Calibration, synthetic rise in pitch, ending with grainy sounds.","RECHARGE MEDIUM Discharges small pulse. Clank followed by glitchy calibration, followed by soft thud.",
needle,2,2,0,mid,desc,Reverse needle effect followed by digital impact sound.,MOTION FAST Steady high frequency needle like sizzle. Doppler drive bys. Standing on an interstellar overpass.,
crumbing,2,2,0,mid,desc,Crumbing and fluttering noise with panning and echoes.,Sustained geological crumbing texture with jagged attacks.,
alloy,2,1,1,new,both,"Steady, metallic texture with rough, broken alloy surfaces.",,
whiny,2,2,0,old,desc,Three months old baby boy screaming. Whiny and throaty.,Three months old baby boy screaming fast and heavy. Whiny and throaty.,
astronomical,2,2,0,mid,desc,"Noisy, astronomical and shimmery whooshing pass by. Movement with a lot of low end.","Slow, astronomical whooshing pass by elements with high warping and shimmering elements on top.",
sparklers,2,2,0,old,desc,"A bunch of sparklers burning at once. High, small, dry and pure sizzling.","Soft and slow whooshes, burning sparklers moved in front of the microphone. Flanging start and ending per variation.",
tough,2,1,1,new,both,"Tough hold layered with leather, grunt, and struggle. Commanding presence in close quarters.",,
uncentered,2,2,0,unknown,desc,FRAGMENTS CONTINUOUS SEQUENCE TARDY Steady resonant buzzing texture. Uncentered low rumble.,,
ever,2,1,1,mid,both,"Water flowing consistently through tunnel, gurgling, pattering against walls, with low, warped rumbles, an ever present airiness and vocalization of b",,
restorative,2,2,0,new,desc,"Soothing motion filled with radiant, restorative presence.",Fizzy charm bubbling with glimmering restorative magic.,
skies,2,1,1,new,both,Tearing rush of violent noise echoing like cursed skies splitting open.,,
trough,2,2,0,old,desc,HUMAN FART LONG Making a farting noise by pressing air trough both cheeks. Wet and squishy.,HUMAN FART SHORT Making a farting noise by pressing air trough both cheeks. Wet and squishy.,
continuing,2,2,0,old,desc,BIG LONG HIT Rattle leading quickly to low thud and clang. Briefly continuing to rattle. Fast decay.,"PERCUSSION INSTRUMENT CONTINUOUS Shaking flexatone. Long, continuing sequence. Ascending and descending pitch.",
plasticky,2,2,0,new,desc,Aggressive magical slice with plasticky grit and detailed transient.,"Rising, stretchy arc with plasticky bend and tight finish.",
possible,2,2,0,mid,desc,Styrofoam box being squished as strongly as possible.,WHISTLE MOTOR HARD Blowing motor whistle as strong as possible. Windy and rattling motor.,
modified,2,2,0,new,desc,"Continuous synthesized movement resembling jet noise, modified with a comb filter effect.",Modified noise with pitch alteration and watery phasing.,
heap,2,1,1,old,both,METAL IMPACT MEDIUM Big heap with mixed metallic pieces collapsing. Reverberant.,,
images,2,2,0,mid,desc,"Holographic presentation, Three dimensional images swiping.",,
techniques,2,2,0,mid,desc,"Harsh noise from violin bow on lever arch file, similar to extended techniques in classical music.","Hiss, and light screeches of violin bow on lever arch file, similar to extended techniques in classical music but on a cello.",
abrasively,2,2,0,mid,desc,"Pieces of corn mix crushed quickly, like object sliding abrasively across surface.","Pieces of corn mix crushed, like object sliding abrasively across surface with crunch at end.",
glittery,2,2,0,new,desc,Ongoing glittery shimmer with fine tonal detail and airy presence.,Polished sparkle puff blooming in glittery magical air.,
equal,2,2,0,mid,desc,"Tonal, spectral resonances with equal tempered harmonics.","FOOT STOMP IMPACT Low, very resonant thud followed by second equal thud and powerful crunch.",
destryoing,2,2,0,old,desc,GLASS BREAK HAMMER Hitting and destryoing glass pane with hammer. Shards falling on concrete. Reverberant.,GLASS BREAK Hitting and destryoing safety glass panels. Shards falling on concrete. Reverberant.,
ammonium,2,2,0,old,desc,"Powdered zinc, ammonium nitrate and ammonium chloride combust when water is added. Initial hiss and thick, medium fast burning.","Benzoic acid, sodium salicylate and ammonium perchlorate burning in cartridge, producing a high whistling sound similar to whistle fireworks.",
climax,2,1,1,new,both,Reverse shimmer climax with crescendo sweep and tonal spike.,,
calving,2,2,0,old,desc,"DESTRUCTION STRESS ICE LARGE Large iceberg under pressure. Calving glacier. Low rumble, soft squeaks and tearing cracks. Reverberant.",DESTRUCTION STRESS ICE LARGE Large iceberg under pressure. Calving glacier. Soft and near cracks. Explosive cracks and tails. Reverberant.,
waterfall,2,2,0,mid,desc,"Cosmos lake, Cosmic waterfall.",FRAGMENTS CONTINUOUS SEQUENCE RAPID Constant rapid flow. Bit crusher waterfall. Low rumble.,
carabiner,2,2,0,old,desc,Carabiner as it snaps into place. Either single click or click with quieter recoil.,Carabiner as it snaps into place. Single click preceded by short scrape.,
tactical,2,2,0,new,desc,"Strong, tactical punch with a forceful, controlled attack.","Stealthy, controlled landing with a smooth, tactical presence.",
contain,2,1,1,old,both,Outdoor recording of electric welding. Constant welding crackles. Slightly reverberant. Some versions contain heavy flashover.,,
backgammon,2,1,1,new,both,Rattling noise produced by shaking a backgammon piece.,,
watching,2,2,0,mid,desc,"Drones watching, spacecrafts taking off from platform.","Congested sky, Flying devices, drones watching.",
sheen,2,2,0,new,desc,Flowing polyester motion with synthetic sheen and flutter.,"Smooth, whistling pass with airy sheen and soft bend.",
pleading,2,2,0,new,desc,"Domestic, Farm, Mammal. Pleading braying and shrieking. Very long sequences. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Mammal. Pleading braying and shrieking. Very long sequences.",
candleholder,2,1,1,old,both,WOBBLE CANDLEHOLDER TABLE Hitting candleholder on table edge and let it bounce. Low and rattling.,,
travelling,2,2,0,old,desc,"Synthetic, harmonically dense laser travelling through space. Long duration. Many ripples.","Synthetic, harmonically dense laser travelling through space. Short duration. Many ripples.",
cement,2,1,1,old,both,"PYROTECHNIC EXPLOSION CEMENT Detonating cement. Some tonal, ringing elements. Echoey tail.",,
showering,2,2,0,unknown,desc,FRAGMENTS CONTINUOUS SEQUENCE RAPID Springy rays. Showering like light rain. Tubey resonance.,"SPARK ELECTRICAL Low punch. Showering, amplitude modulated highs. Resonant.",
flatter,2,2,0,mid,desc,"SYNTHETIC DECAY Quick flatter, like extremely fast stomping.",PLASTIC EXPLOSION Bursting rubber balloon. Reverberating with flatter echo.,
grabbed,2,2,0,mid,desc,Foam grabbed and moved over.,Foam grabbed in hand and lifted. Slight crank.,
timeless,2,2,0,new,desc,Timeless and classic pop sound produced by a mouth.,A timeless tick reminiscent of the golden age of user interface design.,
waffle,2,1,1,new,both,Crisp and brittle break as the rice waffle fractures from friction and pressure.,,
bows,2,2,0,mid,desc,Violin bows back side of cardboard box continually. Mixture of hiss and scrape.,Violin bows cardboard box. Distorted rooster cooing in morning.,
silicide,2,2,0,old,desc,"Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, high.","Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, low.",
crinkly,2,2,0,new,desc,Crinkly throw with synthetic sweep and fluttering trail.,Light synthetic sweep with crinkly tail and smooth motion.,
blessed,2,1,1,new,both,Shimmering spark fizzing like blessed potion mist.,,
dispenser,2,1,1,mid,both,Rolling and clipping a strip of packing tape from a dispenser.,,
machinery,2,1,1,mid,both,"RAY MEDIUM Beam fired which melts metal, similar to electric machinery running or helicopter at end. Glitchy tail falling in pitch.",,
indicating,2,2,0,new,desc,Short jolt sound indicating a power up.,Quick motion noise indicating power up.,
hehehe,2,1,1,old,both,One year old baby boy laughing. Short. Hehehe.,,
successively,2,2,0,old,desc,"SHOOT MEDIUM Quick, successively shots. Long, warped tail with falling pitch.","MEDIUM LONG HIT Three to five, successively louder strikes. Metallic rattle and clang with low resonance. Medium decay.",
fakie,2,1,1,old,both,SKATER RAMP TRICK Skater making a rock to fakie in a quarter ramp.,,
lasers,2,1,1,old,both,Multiple lasers fired at once. Squeaky whoosh becoming gradually longer in length.,,
later,2,2,0,old,desc,"Processed beam with high pitch noise. Synthetic electrical particles. Warped filter added later on. Pitch, shrillness and nosiness varies.","Hammer is turned on and makes subsequent strikes, then later on rotates, creating buzz, with varying pitch.",
sneezing,2,2,0,new,desc,"Domestic, Mammal. Calm snarling and growling with short sneezing. Mono, Sanken Co100K high frequency response.","Domestic, Mammal. Calm snarling and growling with short sneezing.",
overloaded,2,2,0,new,desc,"Gritty, overloaded explosion with fragmented, crumbling distortion.",Overloaded impact with dense power and dramatic low hit.,
immersive,2,2,0,new,desc,Resonant texture cloud with immersive stereo field and sustained resonance.,"Big, immersive fluid motion with enveloping, swirling currents.",
ballon,2,1,1,old,both,EXPLOSION IMPACT SWEETENER Bursting rubber ballon. Processed and pitched down. Reverberant.,,
wildly,2,2,0,new,desc,"Raspy, spiraling motion whipping wildly with rough tonal edges.","Creature wildly vocalizes while rock falls down slope simultaneously, lightly thudding on impact with surface.",
slot,2,2,0,old,desc,Car key taken in and out of door. Scrape as key enters or exits slot.,Car key taken out and put in door. Scrape as key enters or exits slot.,
numerous,2,2,0,mid,desc,"Vocalizations of numerous animals of alien world, such as crickets, woodpeckers and other small birds.",Rocks falling and slowly gaining momentum in continuous motion with numerous thud like impacts.,
machines,2,2,0,mid,desc,"Robotic world ambience, machines paradise.","Giant robot hit, impacts between massive fighting machines.",
surging,2,2,0,new,desc,Blazing spell surging forward with hellish velocity.,Rolling flame ripple surging outward in molten waves.,
wool,2,2,0,new,desc,Heavy wool throw with thick air resistance and dusty motion.,Muted wool swipe with rounded impact and soft tonal grain.,
walls,2,2,0,mid,desc,"Pasta moved around, scraping other pasta and hitting walls.","Water flowing consistently through tunnel, gurgling, pattering against walls, with low, warped rumbles, an ever present airiness and vocalization of b",
diffuse,2,2,0,new,desc,"Diffuse, airy exhale layered with grainy turbulence.",Gentle whoosh with diffuse texture and low rumble.,
differ,2,2,0,mid,desc,"SYNTHETIC SCREECH LONG High, piercing tone with frequency modulation. Variation differ in length.",SMALL AIRY Thin airflow with whistling tone. Variation differ in length.,
hailstorm,2,1,1,unknown,both,"FRAGMENTS CONTINUOUS SEQUENCE RAPID Digital hailstorm. Sizzle with low thumps, rumble.",,
compactness,2,2,0,new,desc,Plastic tick characterized by its subtle click and compactness,Plastic tick characterized by its crisp click and compactness.,
agile,2,2,0,new,desc,"Tiny, rapid darting movements with sharp, agile transitions.","Tiny, agile tonal shifts with sharp, dynamic transitions.",
depending,2,2,0,old,desc,Space capsule whizzes by observer quickly. Quiet whoosh becomes louder depending on speed of object.,Space capsule whizzes by observer slowly. Quiet whoosh becomes louder depending on speed of object.,
inflation,2,2,0,new,desc,"Plastic, Inflation. Airy, steady, continuous and slightly tonal breathing with varying speed and intensity. Mono, Sanken Co100K high frequency respons",Stuttering inflation of a balloon with some friction and low end.,
scorching,2,2,0,new,desc,"Big, scorching bursts of fire with intense, crackling energy.","Intense, aggressive flames bursting with scorching textures.",
valuable,2,2,0,new,desc,Metallic clink as the coin makes contact with other valuable objects.,UI tick that conveys positive feedback of the discovery of a treasure or valuable findings.,
boil,2,1,1,new,both,"LIQUID BABBLE Short gesture of water gurgling, slow boil. Mid frequency pulses.",,
unpredictable,2,2,0,new,desc,"Dynamic, unpredictable zap with shifting tonal elements.","Loose, flowing punch with unpredictable timing and soft body slaps.",
harshly,2,1,1,new,both,"One shot, harshly distorted, layered foley hit with low frequencies.",,
streaming,2,2,0,old,desc,Soft impact with a lot of bubbling and streaming water.,"Heavy impact of a liquid, magical beam. Soft, rumbling build-up followed by a strong hit and streaming splashing water.",
garble,2,2,0,old,desc,Processed rumble with scattered particles and alarm like tone repeating. Pitch rises. Rumble turns into garble and then returns at end.,Short laser garble with bouncy decay.,
outdoors,2,2,0,mid,desc,"Muffled fire weapon, outdoors with long tail.","Space weapon shot, outdoors, long tail.",
driver's,2,2,0,old,desc,Driver's hatch of tank slammed. It clanks a few times as hatch bounces up and down.,"Driver's latch opened, producing sharp, resonant clank.",
passages,2,2,0,new,desc,Raspy and stereo wide high frequency rumble with low end passages.,"Soft, broken airflow with scattered, narrow passages.",
reflective,2,1,1,new,both,Motion resembling a reflective glimmer.,,
baaing,2,2,0,new,desc,"Domestic, Farm, Mammal. Low, throaty, gritty baaing. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Mammal. Low, throaty, gritty baaing.",
borate,2,1,1,old,both,"Trimethyl borate ignited in erlenmeyer flask. Short, tonal, woofing combustion with some flickering after.",,
cicadas,2,2,0,mid,desc,"Galaxy cicadas, alien multitude.","Galaxy precipitation, cosmic cicadas rain.",
chomped,2,2,0,mid,desc,Cucumber chomped on aggressively.,Cucumber chomped on.,
reflect,2,2,0,mid,desc,Particles fired and reflect off surface. High pitch.,"Particles fired and reflect off surface. Low, muffled pitch.",
rivet,2,1,1,mid,both,Closing the handle of rivet pliers.,,
subatomic,2,2,0,mid,desc,"Charged subatomic particles, electrons overload, Metallic friction noise.","Splitting atoms, disjoining subatomic particles",
cellphone,2,1,1,new,both,"UI tick that conveys movement, characterised by a cellphone-like pop.",,
enraged,2,2,0,new,desc,"Wild, Ratel, Mammal. Enraged, tonal growling and snarling with stuttering. Mono, Sanken Co100K high frequency response.","Wild, Ratel, Mammal. Enraged, tonal growling and snarling with stuttering.",
seep,2,2,0,mid,desc,Grapefruit squeezed quickly and lightly. Juices seep out.,Grapefruit squeezed quickly and aggressively. Juices seep out.,
explosives,2,2,0,mid,desc,Squishy crumbling and softly sizzling sweetener for detonations and explosives.,PYROTECHNIC EXPLOSION CORD Detonating cord. High explosives. Heavy impact with echoey tail.,
snatch,2,1,1,new,both,Midweight cloth snatch with subtle rustle and fold.,,
cranks,2,2,0,mid,desc,Friction of plastic produces squeaks and cranks from twists in long sequence.,Friction of plastic produces squeaks and cranks from twists in short sequence.,
laced,2,2,0,new,desc,Foreboding whoosh laced with dark portent and venomous dread.,"Soft, twinkling air laced with ethereal harmonic pulses.",
getting,2,2,0,old,desc,HANDLING TRICK START Skater getting in position to make a trick.,"Steady up and down movement of chimes. Starting soft, getting stronger. Long and detailed ring out.",
dynamo,2,1,1,old,both,"MECHANICS FLASHLIGHT DYNAMO Winding up a dynamo flashlight. Fast handling, then let it roll.",,
fleshy,2,2,0,new,desc,Uneven stuttered strike with fleshy tonal variation and jittery decay.,Sudden release of built up force with fleshy resonance and gritty texture.,
slack,2,2,0,new,desc,Slack leather clutch with gritty fold and soft rattle.,Loose rope whoosh with light slack and minimal resistance.,
matchsticks,2,2,0,mid,desc,The burning of some matchsticks.,The burning of a lot of matchsticks.,
muffle,2,2,0,old,desc,"Processed, muffle gunshots. Quiet.","BRUTAL SCRAPE Ambient, metallic creak, squeak with strong low rumble and muffle cymbal wash. Medium-long decay.",
swirly,2,2,0,unknown,desc,"BLOCKAGE BIG Chimey onset, low resonance. Deep crunch. Sustained lows and swirly grainy textures. Closing in again.","BLOCKAGE BIG Low groan leading to deep crunch. Swirly grainy, gritty texture.",
shuffles,2,2,0,new,desc,Gentle clinks and shuffles as the coins are shifted or moved in a hand.,Singular clinks and shuffles as the coins are shifted or moved in a hand.,
inharmonics,2,2,0,mid,desc,"Reverberated, dense noise with swells and waves of inharmonics.",Digitally modulated metallic sustain with rising pitch and inharmonics.,
unspooling,2,2,0,unknown,desc,"METAL PLASTIC COMPLEX MECHANISM TINY Opening with rattling and clicking elements, then unspooling, ending with rasping impact.","METAL PLASTIC COMPLEX MECHANISM TINY Opening with clicking, then unspooling, ending with rasping impact and snapping.",
punches,2,1,1,new,both,MEDIUM HECTIC Continuous and fast splashing and ripple with isolated punches and low elements.,,
churning,2,2,0,new,desc,"Big, powerful propulsion with heavy, churning fluid dynamics.","ATMOSPHERE CONTINUOUS SEQUENCE LOW Disruption, digital tremors. Churning. Circling, low rumble.",
xlarge,2,2,0,old,desc,ROCK IMPACT XLARGE Moving rocks and stones. Pitched down. Low. Reverberant.,WOOD BREAK XLARGE Ripping and breaking wooden pieces apart. Splintering. Long.,
gameboy,2,2,0,new,desc,"Prolonged, tonal effect reminiscent of a talking Gameboy.",Tonal essence reminiscent of a talking Gameboy.,
mixdown,2,2,0,old,desc,"PUMPGUN, Double Shot, close, 2m Stereo Mixdown.",,
proximity,2,2,0,mid,desc,Pass by whooshing elements of a jet plane in close proximity.,Pass by whooshing elements of a jet plane in distant proximity.,
unfolding,2,2,0,new,desc,Slow unfolding of dense paper with broad motion and rich texture.,Energetic huge load up unfolding into powerful reverberating metallic impact.,
ruptured,2,1,1,new,both,"Continuous, harsh static bursts with sporadic, ruptured distortion.",,
animals,2,2,0,mid,desc,"Grind of rock against surface, as if fictional animals roars, airy and whooshy.","Vocalizations of numerous animals of alien world, such as crickets, woodpeckers and other small birds.",
consecutive,2,2,0,old,desc,"Paintball gun with ammo in cartridge fired. Trigger is held producing consecutive shots, slower than an automatic.  Short, muffled clicks.","Paintball gun with ammo in cartridge fired. Trigger is held producing 3 consecutive shots. Short, muffled, resonant clicks.",
assertive,2,2,0,new,desc,"Whoosh characterised by a brisk, assertive white noise filter.",Denying UI tick that indicates yielding in an assertive and rejecting way.,
classified,2,1,1,mid,both,"Restricted access granted, classified power enabled, space ship passing by.",,
slams,2,2,0,mid,desc,Clunky and thudding elements from metal impacts and light slams.,Impact elements of a filing cabinet soft slams. Metallic thudding impact elements.,
quarters,2,1,1,new,both,"Tough hold layered with leather, grunt, and struggle. Commanding presence in close quarters.",,
wheezing,2,2,0,mid,desc,SYNTHETIC DECAY Wheezing and trembling screech.,"Descending inflection sequence with high tonal, hissing and wheezing elements.",
interactions,2,1,1,new,both,Synthesized sound designed to convey acceptance or confirmation in user interface interactions.,,
legend,2,2,0,new,desc,Clean throw prep with crisp grip articulation. One move. One point. One legend.,Channeling pure 80s mayhem from the legend himself.,
